,Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,Unnamed: 10
60,NFO,85990,25,BANKNIFTY,BANKNIFTY28SEP23P37500,28-SEP-2023,OPTIDX,PE,37500.0,0.05,
61,NFO,85989,25,BANKNIFTY,BANKNIFTY28SEP23C37500,28-SEP-2023,OPTIDX,CE,37500.0,0.05,
62,NFO,85988,25,BANKNIFTY,BANKNIFTY28SEP23P36000,28-SEP-2023,OPTIDX,PE,36000.0,0.05,
63,NFO,85987,25,BANKNIFTY,BANKNIFTY28SEP23C36000,28-SEP-2023,OPTIDX,CE,36000.0,0.05,
64,NFO,85986,25,BANKNIFTY,BANKNIFTY28SEP23P34500,28-SEP-2023,OPTIDX,PE,34500.0,0.05,
65,NFO,85985,25,BANKNIFTY,BANKNIFTY28SEP23C34500,28-SEP-2023,OPTIDX,CE,34500.0,0.05,
66,NFO,85984,25,BANKNIFTY,BANKNIFTY28SEP23P33000,28-SEP-2023,OPTIDX,PE,33000.0,0.05,
67,NFO,85983,25,BANKNIFTY,BANKNIFTY28SEP23C33000,28-SEP-2023,OPTIDX,CE,33000.0,0.05,
68,NFO,85982,25,BANKNIFTY,BANKNIFTY28SEP23P31500,28-SEP-2023,OPTIDX,PE,31500.0,0.05,
69,NFO,85981,25,BANKNIFTY,BANKNIFTY28SEP23C31500,28-SEP-2023,OPTIDX,CE,31500.0,0.05,
70,NFO,85980,25,BANKNIFTY,BANKNIFTY28SEP23P30000,28-SEP-2023,OPTIDX,PE,30000.0,0.05,
71,NFO,85979,25,BANKNIFTY,BANKNIFTY28SEP23C30000,28-SEP-2023,OPTIDX,CE,30000.0,0.05,
72,NFO,85978,25,BANKNIFTY,BANKNIFTY28SEP23P28500,28-SEP-2023,OPTIDX,PE,28500.0,0.05,
73,NFO,85977,25,BANKNIFTY,BANKNIFTY28SEP23C28500,28-SEP-2023,OPTIDX,CE,28500.0,0.05,
74,NFO,71565,50,NIFTY,NIFTY24JUN27P26000,24-JUN-2027,OPTIDX,PE,26000.0,0.05,
75,NFO,71564,50,NIFTY,NIFTY24JUN27C26000,24-JUN-2027,OPTIDX,CE,26000.0,0.05,
76,NFO,71563,50,NIFTY,NIFTY24JUN27P25000,24-JUN-2027,OPTIDX,PE,25000.0,0.05,
77,NFO,71562,50,NIFTY,NIFTY24JUN27C25000,24-JUN-2027,OPTIDX,CE,25000.0,0.05,
78,NFO,71561,50,NIFTY,NIFTY24JUN27P24000,24-JUN-2027,OPTIDX,PE,24000.0,0.05,
79,NFO,71560,50,NIFTY,NIFTY24JUN27C24000,24-JUN-2027,OPTIDX,CE,24000.0,0.05,
80,NFO,71559,50,NIFTY,NIFTY24JUN27P23000,24-JUN-2027,OPTIDX,PE,23000.0,0.05,
81,NFO,71558,50,NIFTY,NIFTY24JUN27C23000,24-JUN-2027,OPTIDX,CE,23000.0,0.05,
82,NFO,71557,50,NIFTY,NIFTY24JUN27P22000,24-JUN-2027,OPTIDX,PE,22000.0,0.05,
83,NFO,71556,50,NIFTY,NIFTY24JUN27C22000,24-JUN-2027,OPTIDX,CE,22000.0,0.05,
84,NFO,71554,50,NIFTY,NIFTY24JUN27P21000,24-JUN-2027,OPTIDX,PE,21000.0,0.05,
85,NFO,71553,50,NIFTY,NIFTY24JUN27C21000,24-JUN-2027,OPTIDX,CE,21000.0,0.05,
86,NFO,71552,50,NIFTY,NIFTY24JUN27P20000,24-JUN-2027,OPTIDX,PE,20000.0,0.05,
87,NFO,71551,50,NIFTY,NIFTY24JUN27C20000,24-JUN-2027,OPTIDX,CE,20000.0,0.05,
88,NFO,71550,50,NIFTY,NIFTY24JUN27P19000,24-JUN-2027,OPTIDX,PE,19000.0,0.05,
89,NFO,71549,50,NIFTY,NIFTY24JUN27C19000,24-JUN-2027,OPTIDX,CE,19000.0,0.05,
90,NFO,71548,50,NIFTY,NIFTY24JUN27P18000,24-JUN-2027,OPTIDX,PE,18000.0,0.05,
